L,R,F,M
343,1,14,77357.14286
205,111,5,125200
0,64,1,271000
0,22,1,300000
25,92,4,1162500
0,314,1,48000
0,47,1,48000
0,124,1,50000
0,67,1,67000
0,181,1,44000
0,117,1,40000
271,94,6,114000
0,317,2,130000
0,279,1,100000
0,249,1,116000
66,234,8,108375
118,160,5,43400
0,128,1,300000
0,331,1,93000
0,276,1,83000
0,327,1,66000
0,237,1,42000
0,109,1,332000
58,121,4,89000
16,10,3,63000
0,235,1,362700
0,95,1,351000
269,44,7,48285.71429
16,18,2,58000
0,73,1,66000
0,262,1,58000
0,286,1,32000
335,5,13,59076.92308
114,194,5,83285.71429
0,130,1,63000
180,6,11,463636.3636
0,190,1,101000
0,165,1,68000
225,117,6,43833.33333
201,5,22,120507.9091
0,167,1,182000
101,191,4,103625
151,62,2,164000
0,363,1,70000
0,174,1,300000
3,300,2,70000
0,339,1,425000
0,340,1,136000
307,18,7,215428.5714
3,319,2,132000
0,325,1,65000
0,319,1,93000
0,144,1,585000
0,328,1,39000
0,321,1,32000
0,153,1,94000
125,70,6,203833.3333
0,180,1,575000
0,116,1,23000
169,3,3,70400
305,4,17,97847.05882
0,339,1,141000
171,80,6,137378.3333
0,267,1,152000
301,54,5,69100
0,271,1,275000
226,127,7,50142.85714
0,153,1,37000
0,27,1,196000
0,305,1,86000
322,27,7,230014.2857
89,266,12,75416.66667
0,256,1,8000
0,99,1,255000
0,250,1,75000
0,46,1,112000
332,10,13,190307.6923
0,138,1,54600
0,213,1,120000
13,311,2,71000
0,104,1,171000
0,332,1,48000
0,81,1,111000
0,339,1,64000
0,142,1,180090
157,160,2,188000
0,288,1,32000
0,265,2,36500
0,359,1,71000
0,319,1,7000
0,163,1,348000
24,281,2,161500
16,297,2,168000
0,49,1,495000
354,9,28,87653.57143
0,353,1,99000
0,23,1,127000
0,352,1,33000
0,279,1,150000
18,144,2,124500
19,256,2,59500
325,23,9,235366.6667
0,262,1,72000
0,290,1,539000
0,116,1,72000
0,340,1,807000
26,108,2,91000
324,7,13,158923.0769
210,59,4,66000
16,301,3,51333.33333
67,263,6,202833.3333
50,298,3,55000
103,11,2,111400
44,290,2,54750
9,249,2,142000
104,130,2,125500
328,30,7,35857.14286
0,138,1,59400
0,205,2,149650
0,347,1,145000
0,308,1,35000
0,85,1,200000
0,145,1,56000
0,329,1,403000
0,331,1,39000
0,299,2,109000
0,68,1,120000
0,314,1,55000
285,4,3,70700
0,123,1,104000
190,174,5,76000
0,101,1,101000
34,255,4,35000
155,206,29,78670.68966
0,33,1,262000
0,362,1,50000
174,178,8,88625
0,340,1,66000
0,354,1,32000
0,16,1,32000
23,88,3,49666.66667
298,64,5,75870
68,96,4,65775
0,300,1,6000
0,299,1,96000
0,360,1,82000
0,279,1,524000
99,264,4,236750
0,162,1,516000
0,324,1,39000
0,362,1,58000
5,354,2,51500
0,325,1,605000
0,291,1,129000
0,283,1,119000
0,124,1,41000
0,8,2,84000
0,142,1,56000
101,159,3,89666.66667
21,342,3,39000
0,232,1,37000
0,50,1,80000
248,31,9,170888.8889
0,199,1,300000
74,123,3,73333.33333
52,114,5,41610
